H55933,R39465,R39465_,R85482,U14973,R02593,T51496,H80240,T65938,T55131,T72863,H86060_,X63432,H20709,U14971,T52342,L28809,T63508,H09263,T49423,H79852,J02763,R22197,T59954,H80240_,T95018,H86060,T63484,R02593_,M11799,T61609,T62220,T51574,T48041,T96832,H54676,R86975,T63258,control1,control2,control3,control,T57619,T88723,R36455,T61602,T58861,U21909,T61661,control4,X73882,T78323,M80359,M35531,R35903,X67325_,U25435,D37931,M15841,D59253,H77510,R78142,R62945,X70070,U05040,U33429,T60778,X04011,L12350,R06749,U24105,T57468,M55422,M64110,U14577,K03474,T49204,D00760,H20856,R98410,H62854,T89666,D38551,U12140,M63239,D14689,M67454,T64128,R76825,U15212,X67699,R70790,L11706,T90549,D17390,M33210,H18490,H40891,R77780,T49647,Class
14876.407,3201.9045,2327.6262,11248.68,5893.279,5319.857,9939.246,4058.6438,14144.835,3282.62,6707.6763,3870.9097,7921.855,3648.4275,5570.308,8512.029,4844.5225,4143.384,7256.515,7761.745,6512.114,6518.91,10051.35,1828.725,3104.8093,9309.401,2472.2334,4906.445,2687.1738,1834.1825,6470.8623,1135.6274,2039.5575,484.6975,2381.2488,5213.7876,5492.269,762.15625,2233.479,2233.479,2233.479,2233.479,4247.4424,1665.7137,2748.6155,6315.041,7741.5977,2626.95,1291.8475,3112.6704,113.69167,159.74625,47.85875,92.37375,10.025,342.615,150.01125,73.115,41.855,324.6875,135.44624,255.56,216.68375,113.94625,136.8,248.82262,103.35,168.06125,167.61874,172.81,115.335,129.235,48.061905,108.51667,170.93375,451.55557,178.725,116.95375,38.73875,554.6763,24.321053,37.57875,88.64445,80.67375,149.23375,226.79868,128.65536,66.685,217.95125,135.5475,306.47263,271.79376,554.1937,65.1975,277.2075,442.7857,377.83875,335.1575,116.66,58.66375,Abnormal
14173.054,8411.861,6042.84,8766.047,3511.0845,4878.182,3391.875,2622.0076,10012.81,6326.225,4454.9624,2341.6423,4825.5337,6074.59,3723.8787,3353.4668,2760.96,2863.18,3036.5889,3695.51,6745.511,4152.646,6646.4336,5772.7114,2065.131,3548.3965,1533.7988,3030.3213,2410.8574,2369.629,2782.4612,2905.3687,5638.221,2167.53,1431.345,4142.28,2775.6814,2442.4563,4129.161,4129.161,4129.161,4129.161,2225.3237,5704.9424,1784.5562,4437.58,2631.5461,1308.6912,2833.2239,2374.8687,31.02262,221.85875,69.095,113.2825,33.17,145.16167,41.9975,167.2525,140.86626,107.57375,58.67125,200.39,117.54,146.01,62.8925,108.53214,1031.0638,180.68875,51.35875,53.1625,213.03876,139.3575,22.095238,1031.1321,80.235,153.68611,53.04875,43.01125,120.55375,404.16,137.75,73.40625,63.761112,46.11125,47,38.338158,33.798214,174.555,54.2,231.73,337.13214,75.9225,351.73376,127.25625,104.88,178.56548,163.76,205.43875,58.24375,44.0575,Normal
4469.09,5167.0566,4773.68,3330.3643,3174.2417,3643.6858,3886.4175,3922.9226,2968.0962,2832.2239,2936.3286,2590.7097,2639.3086,2609.5725,2711.7463,3462.9043,1939.0725,1567.6962,2602.1038,2780.755,1501.7825,4141.8623,2104.18,2680.4788,3317.6125,4384.3657,1312.0869,2294.889,1978.4025,1322.0024,2243.1162,1173.6324,3065.014,1898.8738,1758.8726,842.92126,1458.19,1752.2275,1454.1012,1454.1012,1454.1012,1454.1012,2102.4375,2166.4712,895.4891,1646.4088,2661.9675,1061.12,1494.7225,1488.145,33.065475,144.1075,26.17625,78.985,22.56,29.583332,55.75,50.3525,102.6225,63.22875,35.82875,90.68125,103.8075,53.34875,29.68,29.408333,163.8475,59.33125,126.22875,48.55375,168.0625,84.0725,47.445236,135.98929,45.2,127.12222,100.7,67.1875,55.62625,98.7425,57.725,30.05375,56.7125,52.95125,28.85375,49.81842,20.307142,171.41125,31.2475,151.92375,185.71786,112.21875,189.05376,80.5,93.9075,161.81071,29.04125,45.5025,27.0725,34.6925,Abnormal
4985.2188,4735.793,4075.1226,2845.2483,2973.275,4219.4644,3556.88,3234.245,2824.7837,3187.025,3301.129,2130.0059,2352.1187,3216.1538,2676.3713,4670.896,2462.9724,2266.1,2339.8513,2393.4575,2184.641,3253.185,2698.2388,2001.15,2619.0156,3524.4392,1065.0833,1670.9275,2221.0737,1343.9725,1968.2288,1912.9438,2698.3638,2129.7087,1312.3275,1673.9525,1421.7212,2080.255,2219.273,2219.273,2219.273,2219.273,1616.4812,2420.8826,786.59064,1344.44,2337.7937,1134.9976,1577.7775,1412.981,32.853573,88.76625,16.7125,67.84,21.71375,41.04,41.10625,36.84625,43.15625,49.19375,42.5475,66.5275,25.2125,43.44125,20.76,21.447618,353.0725,42.12625,24.13375,35.11625,123.59,57.47375,15.730952,218.22025,33.25875,111.625,77.66625,46.5675,24.075,142.7925,93.744736,57.37125,39.552776,29.84875,60.195,22.526316,25.89643,88.10625,14.88125,313.30374,128.99286,59.29,74.72375,108.725,62.2,25.99643,32.7025,33.49125,38.7275,21.63125,Normal
4913.799,5215.048,4288.616,3213.4304,3147.4023,4460.4463,2334.8086,3302.7625,3855.7712,4319.029,5199.195,2579.7114,1943.8275,2555.9375,3371.3013,4847.6626,2619.6062,2329.3513,1918.6375,2737.7087,3121.4688,5193.0576,3024.9675,3013.6038,2617.119,6432.0737,1626.2928,2683.2588,1829.98,3971.8413,3146.756,2443.9775,3092.67,1965.465,993.7388,1782.7125,3158.8274,1609.3538,2571.4968,2571.4968,2571.4968,2571.4968,2794.0488,3223.6924,1615.9938,1804.3488,4018.8613,1071.23,1804.5488,2259.9878,33.009525,190.3325,89.1,87.6975,52.8325,211.205,17.82375,79.27875,77.0875,84.89,112.55875,53.2725,88.875,52.745,36.40375,37.141666,644.8713,62.155,128.8075,32.20125,190.09125,163.1625,66.26309,90.209526,42.4125,152.46944,115.21875,69.29625,34.45125,220.4725,44.5,75.3975,102.45417,65.06,79.5125,48.58421,39.798214,120.81375,65.43875,249.30376,254.91667,64.88,435.98126,144.28,71.16125,212.72263,51.46125,87.35125,47.89875,89.45375,Abnormal
5627.251,3619.5317,2606.5,2544.452,5967.086,7736.468,4633.865,1356.4513,2982.8826,6400.2275,5387.9663,1088.8596,1894.865,2464.1924,3904.8406,2767.296,1470.145,2091.58,1705.1425,3567.9275,3904.4412,4877.544,3845.1375,4059.92,982.1094,6187.468,715.57263,1873.1875,4691.3486,777.33,3494.7024,1716.6538,8418.048,1875.9375,552.0087,2936.06,4327.8813,2256.5488,408.69183,408.69183,408.69183,408.69183,2218.7039,2250.5425,547.1875,2437.8289,4392.115,597.9275,2269.2075,1721.3689,6.5559525,28.68875,39.60625,59.09625,38.4,194.99333,16.7825,19.0675,88.9525,13.78625,25.54125,30.12125,16.1675,7.21,17.2375,34.780952,175.0725,24.5,23.52375,19.4375,44.26625,155.175,20.569048,10.821429,12.9175,23.891666,21.0175,107.20875,26.77125,74.4725,101.62368,42.36375,39.22639,42.3025,20.33,6.0328946,17.192858,6.01,15.725,496.08374,149.62381,26.24,190.25874,68.4825,52.2175,12.063095,9.1875,18.015,8.4475,37.8225,Normal
7144.4062,2071.4023,1619.2762,2576.159,3401.15,2915.093,3361.535,2888.0613,6749.665,1652.3024,6094.989,2678.0386,1550.4325,1290.42,4205.418,1872,1598.1038,1534.755,1366.4275,2008.3676,4427.2886,3755.121,5326.989,1168.3987,2266.85,5521.62,1082.6523,2262.1924,1413.115,1591.455,2849.1174,870.0037,1740.2262,832.8113,1453.6625,3119.1511,2074.6238,1310.9475,1024.8951,1024.8951,1024.8951,1024.8951,2971.9111,834.8187,481.6922,3102.58,2649.0024,397.02625,463.41876,1324.1329,32.915478,48.33125,20.31875,12.8625,19.465,16.928333,27.7425,33.11875,37.0225,34.60125,19.94875,72.0875,104.8225,34.92125,24.33,24.578571,463.5775,77.7975,49.105,12.69625,78.76375,43.76125,13.391667,36.595238,16.1825,100.39167,29.11625,79.45875,6.7725,109.79625,21.672367,37.995,23.115278,35.1675,6.93625,6.2223682,7.4589286,23.39625,19.32125,168.44,5.95,26.715,244.27,30.775,23.96875,145.3119,45.93125,58.61125,17.25625,48.4925,Abnormal
4865.22,3237.7773,2341.0862,2372.6804,3058.2715,1347.1321,1306.5725,3507.045,3917.266,1528.6143,1894.9288,3095.502,2565.13,2445.2112,1834.0917,4361.5044,1362.3875,2974.7375,810.26373,672.95624,1986.42,4710.4087,1626.0725,1367.63,2500.3281,1030.1786,1355.2738,1233.6362,589.59875,2126.6362,1150.1226,1397.4188,807.14,1241.8538,1742.7675,1409.38,797.04,1026.9738,972.40625,972.40625,972.40625,972.40625,907.53625,1193.3188,395.97968,1049.0511,897.96875,794.1525,849.35,904.22266,13.992857,19.2675,6.52375,14.10375,20.835,188.01334,27.2675,33.35875,48.4625,27.56625,20.6625,77.42125,53.29,46.66625,24.50125,41.736904,78.66625,47.195,6.29625,25.605,58.92625,13.17375,15.802381,17.191668,6.22,80.025,33.87375,58.53625,17.935,93.33875,68.88158,34.7175,33.720833,14.4575,17.76625,11.790789,17.141071,78.5,5.9675,96.81625,40.44405,32.4075,88.155,15.69375,52.9425,26.890476,34.63375,33.04375,36.8975,64.52125,Normal
5382.394,3848.443,3372.4888,4444.566,2464.9023,1304.5571,1062.6975,2903.325,4866.8086,2734.144,2940.9639,2707.5347,1290.5825,2166.385,3095.9988,2177.3125,2845.1013,2461.6611,863.07,1591.6775,2331.8188,4360.75,3104.5637,1928.4211,2134.5688,4610.957,1556.6512,2160.1963,594.0637,3637.5476,3175.82,1367.58,2124.6013,1565.1562,867.7275,935.8,1437.3013,1189.425,1027.9343,1027.9343,1027.9343,1027.9343,2511.71,2055.2512,536.8812,1301.2538,2854.5989,408.74,1072.2863,1169.2606,27.15119,102.295,33.1775,31.55875,12.8175,28.731667,23.17125,27.885,180.66624,60.75875,60.65125,60.13125,47.8,35.6525,48.11625,40.27619,6.3175,53.68625,14.225,21.17375,122.93375,159.13,25.527382,21.802382,37.6775,43.130554,54.495,71.12125,20.2875,69.36875,47.513157,36.63125,66.458336,42.105,12.1325,13.794737,9.210714,75.25125,19.56875,197.93375,80.97024,29.935,155.7675,50.895,43.6575,118.4619,22.0475,62.68625,6,25.105,Abnormal
4412.476,1752.3955,1280.3239,5200.3447,2369.0608,2047.95,2104.7588,2938.8674,2628.5938,1688.8857,2776.2288,2877.6885,4531.5513,5161.1387,2910.6382,4113.7124,1957.5963,3553.4888,1511.0812,1969.8812,1580.9988,5303.444,1520.68,1185.38,2387.0845,1812.9714,1539.4952,2108.4111,989.5,2369.385,1531.345,971.91626,511.85876,908.2275,1398.5812,730.46,1379.7426,454.1375,1521.8077,1521.8077,1521.8077,1521.8077,1716.8875,1166.3562,1160.8828,818.9338,1694.2625,1380.6324,1126.3212,1163.821,28.188095,38.05125,18.34375,19.695,25.245,27.603333,34.24875,41.19,33.5825,38.245,64.25875,74.29875,26.1375,50.73625,17.37125,84.19524,120.015,59.7775,28.43875,45.22875,61.0475,6.26125,40.315475,151.80476,63.49375,87.208336,58.94375,41.06625,12.1875,128.1425,30.957895,22.45,8.204166,57.06625,49.95375,36.55658,29.78393,46.575,45.09875,85.81,181.21906,69.3375,124.295,21.40375,67.86625,106.05714,26.40875,32.325,39.60875,36.0425,Normal
7434.8213,6471.2114,5029.6177,4749.3286,1548.4774,7000.1284,3077.4111,3440.9138,5188.9214,9008.612,2260.7925,1934.127,2410.1338,1356.3239,1931.6167,5822.575,2949.2063,2181.6262,2160.3662,2567.9163,4051.4463,4084.8674,3027.8474,6200.6777,2644.1843,3263.1167,965.75354,1815.53,3306.3425,2487.8037,1402.8175,2938.2788,3335.4087,1152.4612,1808.1975,2719.9424,1397.305,2135.76,2035.6536,2035.6536,2035.6536,2035.6536,1852,3137.0576,1800.5767,2332.1375,2246.5437,1251.2188,1177.4325,4623.97,44.361904,108.1975,57.45,55.415,51.65375,451.355,40.2275,45.87625,292.9375,150.03876,53.7375,153.85126,108.3825,56.045,87.97,74.069046,38.54875,78.36875,50.1675,36.79,259.28625,299.26874,42.157143,29.109524,101.5625,156.33333,101.11375,98.65,50.28125,105.64625,144.89737,72.84875,143.05972,30.27125,90.94375,33.042107,54.285713,85.415,94.6975,391.34875,139.875,68.025,164.21,104.505,103.73875,34.886906,154.87875,105.97,57.70875,25.9725,Abnormal
6995.41,6658.109,5316.396,4047.5144,1656.006,6236.7534,4130.0425,3229.71,6939.0923,4771.562,2329.9412,1875.1711,5504.675,2411.4624,1821.2299,8844.992,2078.15,1802.48,3548.0762,3175.96,2897.2039,3519.0137,3079.83,3918.6836,2391.072,2041.3274,949.2762,1294.0625,2887.516,1669.0375,1300.36,3128.27,2639.21,3132.3374,2822.9976,2299.9663,1059.9275,2443.27,3483.9744,3483.9744,3483.9744,3483.9744,1205.3075,3628.5337,2316.392,2079.7188,1447.7988,2742.8374,1992.2762,2057.2014,59.613094,281.50626,70.42625,71.5975,60.3375,260.11667,54.6425,184.12625,146.7325,115.86125,46.95875,188.49625,68.76,143.53375,46.00375,63.610714,882.2625,113.95,98.78375,76.4625,324.805,197.25375,61.37381,599.5333,126.6025,139.4,98.59125,37.6475,69.97625,201.57625,205.25133,96.3675,85.7,69.5575,159.945,48.639473,255.0768,161.62875,154.46375,260.06876,192.24167,115.66625,157.65625,180.17625,145.1525,61.986904,104.94125,127.93875,104.9175,59.23125,Normal
4214.9,2213.3567,1611.5188,1764.232,4374.78,4520.793,3982.795,3466.2888,2197.6338,2560.4976,7473.636,2683.6558,2592.505,2543.7,5571.279,3060.5708,3213.7012,2580.6863,3579.3662,3919.055,2570.7737,12112.095,1402.3688,1337.9912,2630.9062,5261.3394,1441.9143,2324.0874,2378.6511,3264.075,4601.6763,1157.45,1069.245,803.5675,1802.6588,1430.48,2962.7324,787.405,424.56085,424.56085,424.56085,424.56085,2533.3525,913.03125,1176.6359,948.9,5056.5625,756.795,1146.4738,1070.4926,14.488095,26.785,17.03875,25.765,11.48875,18.298332,25.73625,6.445,73.4975,18.31125,92.15625,40.2575,6.3825,66.9375,16.815,14.669048,12.19625,44.1325,12.1475,27.5,56.535,48.80875,15.785714,13.164286,38.86375,24.875,20.785,104.68375,12.9375,51.96125,24.730263,24.37125,71.61389,29.90375,24.86125,14.817105,28.475,40.92875,29.2825,90.16,93.63095,41.2975,431.865,20.47125,31.60375,88.52024,19.12875,28.81875,20.33375,94.55,Abnormal
1914.6775,2119.1113,1595.4088,1186.0304,2090.3882,1087.75,1248.1638,1895.095,1179.935,974.8155,1179.735,1632.9095,2390.1025,1421.7175,1243.7488,758.5292,745.535,1246.6538,716.77374,837.87,666.1813,2126.8,607.09125,606.78876,1603.7219,590.35236,919.4643,568.015,566.8675,561.33624,538.69,524.0875,502.19125,473.665,1285.6387,460.31876,439.67624,471.76624,448.84573,448.84573,448.84573,448.84573,406.985,397.8225,429.57968,387.95624,385.93,377.23,533.645,369.9942,11.567857,6.52625,13.20375,10.21125,7.78125,30.248333,12.89375,11.14625,6.44375,6.435,6.4275,15.70625,13.87375,12.61,12.02875,11.89881,30.68125,6.29875,7.9225,9.3125,6.27125,10.96625,13.109524,6.2535715,16.98625,6.1916666,6.16125,18.3475,6.13625,27.20125,20.010527,13.93,15.8125,6.06875,14.1175,15.789474,14.457143,27.79375,19.71625,57.1975,54.009525,37.185,62.7975,5.92375,5.91625,21.309525,10.00625,5.84875,5.8425,19.055,Normal
8865.459,5447.1865,4887.0576,3782.5945,3927.0107,6138.971,4379.595,5385.03,5130.4077,5096.721,4491.1777,4066.3308,2343.0825,3915.7239,6517.9214,6189.925,3477.2725,2748.2,3189.6726,3861.8562,2850.8562,7337.0615,4213.0127,3309.3574,3709.1938,9026.376,2402.9297,2943.06,3056.975,2137.425,4989.4424,2014.9962,3436.805,2354.6875,1897.485,2500.815,3377.2363,2424.275,1409.8519,1409.8519,1409.8519,1409.8519,4142.1714,2515.73,1048.0048,2076.6526,4213.5713,1172.3488,1371.0138,2648.9568,64.23691,71.3975,103.3325,51.63625,9.21625,35.786667,62.71,47.60125,156.44624,69.26125,88.355,87.35375,118.8725,47.445,55.54375,61.865475,48.8425,49.855,25.75625,35.05875,344.9325,251.48625,45.394047,12.820238,104.26125,37.827778,126.0025,74.19875,48.99,228.6675,143.85394,48.87125,69.73472,28.3525,40.48125,66.38421,43.2625,211.50874,74.1725,238.7125,159.17976,86.305,253.4025,185.46625,77.13375,5.8880954,57.80875,118.89375,44.87625,56,Abnormal
